Name,team,wins,losses,ERA,GP,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,BB,SO,whip,avg,hByP
Jacob deGrom,NYM,6,2,0.56,10,10,1,1,0,0,64.0,26,7,4,3,8,103,0.53,.121,0
Lance Lynn,CWS,7,1,1.23,11,11,1,1,0,0,65.2,41,13,9,6,17,72,0.88,.171,1
Kevin Gausman,SF,7,1,1.43,13,13,0,0,0,0,81.2,46,15,13,6,18,97,0.78,.159,0
Brandon Woodruff,MIL,5,2,1.52,13,13,0,0,0,0,83.0,43,15,14,6,17,97,0.72,.151,3
Carlos Rodon,CWS,6,2,1.89,11,11,1,1,0,0,66.2,39,15,14,6,17,97,0.84,.166,5
Trevor Rogers,MIA,7,3,2.02,13,13,0,0,0,0,75.2,55,19,17,4,25,89,1.06,.206,2
Taijuan Walker,NYM,5,2,2.07,11,11,0,0,0,0,61.0,39,17,14,2,24,60,1.03,.183,1
Kyle Gibson,TEX,4,0,2.13,12,12,0,0,0,0,71.2,51,18,17,5,21,58,1.00,.196,2
Max Scherzer,WSH,5,4,2.21,13,13,1,0,0,0,77.1,48,21,19,11,15,104,0.81,.179,4
Freddy Peralta,MIL,6,1,2.25,13,12,1,0,0,0,68.0,31,17,17,7,29,98,0.88,.134,3
Yu Darvish,SD,6,2,2.28,13,13,0,0,0,0,79.0,53,22,20,8,19,92,0.91,.189,7
John Means,BAL,4,2,2.28,12,12,1,1,0,0,71.0,46,18,18,13,13,69,0.83,.182,1
Zack Wheeler,PHI,4,3,2.29,13,13,1,1,0,0,90.1,63,24,23,7,18,112,0.90,.196,3
Gerrit Cole,NYY,7,3,2.31,13,13,0,0,0,0,81.2,60,22,21,8,11,113,0.87,.203,1
Marcus Stroman,NYM,6,4,2.33,13,13,0,0,0,0,77.1,65,26,20,8,18,67,1.07,.226,2
Walker Buehler,LAD,6,0,2.38,13,13,0,0,0,0,83.1,61,23,22,11,17,77,0.94,.204,2
Joe Musgrove,SD,4,6,2.50,13,12,1,1,0,0,72.0,46,22,20,9,14,96,0.83,.177,8
Tyler Glasnow,TB,5,2,2.57,13,13,0,0,0,0,84.0,52,24,24,10,26,117,0.93,.174,0
Trevor Bauer,LAD,6,5,2.64,14,14,1,0,0,0,88.2,55,31,26,14,29,111,0.95,.174,3
Anthony DeSclafani,SF,6,2,3.09,13,13,2,2,0,0,75.2,56,26,26,8,21,66,1.02,.203,0
Sean Manaea,OAK,5,2,3.09,13,13,2,2,0,0,75.2,72,26,26,7,18,73,1.19,.249,1
Pablo Lopez,MIA,2,4,3.12,14,14,0,0,0,0,78.0,69,29,27,8,21,78,1.15,.237,3
Aaron Civale,CLE,9,2,3.17,13,13,0,0,0,0,88.0,69,32,31,13,19,69,1.00,.217,3
Ian Anderson,ATL,4,3,3.26,12,12,0,0,0,0,66.1,52,24,24,6,26,69,1.18,.213,1
Shane Bieber,CLE,7,4,3.28,14,14,0,0,0,0,90.2,80,35,33,11,33,130,1.25,.232,4
